ap-northeast-1,ami-0238fc6af6bba5241
ap-northeast-2,ami-0a5732cf00ef2da99
ap-northeast-3,ami-0d202598b342f2f53
ap-south-1,ami-0bcc667116a070e40
ap-southeast-1,ami-033a3bd1e8ea825a5
ap-southeast-2,ami-0626846f14dbd80e5
ca-central-1,ami-00a7d7ec7a73de008
eu-central-1,ami-015796b0bb7c85278
eu-north-1,ami-ff800981
eu-west-1,ami-0c21eb76a5574aa2f
eu-west-2,ami-031e9af9a62a515ca
eu-west-3,ami-0cf799901ece2e2af
sa-east-1,ami-0100acce7c30020c9
us-east-1,ami-07073342279f98d28
us-east-2,ami-02e1499f8253f416f
us-west-1,ami-09a3ee98385ff6b68
us-west-2,ami-0e3e4660d8725dd31